"id";"task_name";"task_link";"status"
1;"dynamic_table";"/dynamic_table";1
2;"kuku cube";"/kuku_cube";1
3;"tic tak toc";"/tic_tak_toc";1
4;"html design 1";"/html/html1";1
5;"html design 2";"/html/html2";1
6;"html design 3";"/html/html3";1
7;"node js 7 task like sort";"/home/jyot-khant/Desktop/node js/19-2";0
8;"filesystem crud operation";"/home/jyot-khant/Desktop/node js/21_2";0
9;"delimiter_search";"/delimiter_search";1
10;"job_application_form";"/job_application";1
11;"json_place_holder";"/json_place_holder";1
12;"ajax_job_application";"/ajax_job_form";1
14;"students exam";"/student_exam";1
15;"timezone";"/timezone";1
16;"viewGrid";"/viewGrid";1
17;"event_table";"/event_table";1
