"student_id";"date";"attendence"
1;"2023-12-01";"P"
1;"2023-12-02";"A"
1;"2023-12-03";"P"
1;"2023-12-04";"P"
1;"2023-12-05";"P"
1;"2023-12-06";"P"
1;"2023-12-07";"A"
1;"2023-12-08";"A"
1;"2023-12-09";"P"
1;"2023-12-10";"P"
1;"2023-12-11";"A"
1;"2023-12-12";"P"
1;"2023-12-13";"A"
1;"2023-12-14";"P"
1;"2023-12-15";"P"
1;"2023-12-16";"A"
1;"2023-12-17";"A"
1;"2023-12-18";"A"
1;"2023-12-19";"A"
1;"2023-12-20";"A"
1;"2023-12-21";"P"
1;"2023-12-22";"A"
1;"2023-12-23";"P"
1;"2023-12-24";"P"
1;"2023-12-25";"A"
1;"2023-12-26";"A"
1;"2023-12-27";"A"
1;"2023-12-28";"P"
1;"2023-12-29";"P"
1;"2023-12-30";"P"
1;"2023-12-31";"P"
1;"2024-01-01";"A"
1;"2024-01-02";"A"
1;"2024-01-03";"P"
1;"2024-01-04";"A"
1;"2024-01-05";"P"
1;"2024-01-06";"A"
1;"2024-01-07";"A"
1;"2024-01-08";"A"
1;"2024-01-09";"P"
1;"2024-01-10";"P"
1;"2024-01-11";"A"
1;"2024-01-12";"P"
1;"2024-01-13";"A"
1;"2024-01-14";"P"
1;"2024-01-15";"P"
1;"2024-01-16";"A"
1;"2024-01-17";"A"
1;"2024-01-18";"A"
1;"2024-01-19";"A"
1;"2024-01-20";"A"
1;"2024-01-21";"P"
1;"2024-01-22";"A"
1;"2024-01-23";"P"
1;"2024-01-24";"P"
1;"2024-01-25";"A"
1;"2024-01-26";"A"
1;"2024-01-27";"A"
1;"2024-01-28";"P"
1;"2024-01-29";"P"
1;"2024-01-30";"P"
1;"2024-01-31";"P"
1;"2024-02-01";"P"
1;"2024-02-02";"A"
1;"2024-02-03";"P"
1;"2024-02-04";"P"
1;"2024-02-05";"P"
1;"2024-02-06";"P"
1;"2024-02-07";"A"
1;"2024-02-08";"A"
1;"2024-02-09";"P"
1;"2024-02-10";"P"
1;"2024-02-11";"A"
1;"2024-02-12";"P"
1;"2024-02-13";"A"
1;"2024-02-14";"P"
1;"2024-02-15";"P"
1;"2024-02-16";"A"
1;"2024-02-17";"A"
1;"2024-02-18";"A"
1;"2024-02-19";"A"
1;"2024-02-20";"A"
1;"2024-02-21";"P"
1;"2024-02-22";"A"
1;"2024-02-23";"P"
1;"2024-02-24";"P"
1;"2024-02-25";"A"
1;"2024-02-26";"A"
1;"2024-02-27";"A"
1;"2024-02-28";"P"
1;"2024-02-29";"P"
2;"2023-12-01";"A"
2;"2023-12-02";"A"
2;"2023-12-03";"A"
2;"2023-12-04";"P"
2;"2023-12-05";"P"
2;"2023-12-06";"P"
2;"2023-12-07";"A"
2;"2023-12-08";"P"
2;"2023-12-09";"A"
2;"2023-12-10";"P"
2;"2023-12-11";"P"
2;"2023-12-12";"P"
2;"2023-12-13";"P"
2;"2023-12-14";"A"
2;"2023-12-15";"P"
2;"2023-12-16";"A"
2;"2023-12-17";"A"
2;"2023-12-18";"P"
2;"2023-12-19";"A"
2;"2023-12-20";"P"
2;"2023-12-21";"A"
2;"2023-12-22";"P"
2;"2023-12-23";"A"
2;"2023-12-24";"A"
2;"2023-12-25";"P"
2;"2023-12-26";"A"
2;"2023-12-27";"A"
2;"2023-12-28";"A"
2;"2023-12-29";"P"
2;"2023-12-30";"P"
2;"2023-12-31";"P"
2;"2024-01-01";"A"
2;"2024-01-02";"A"
2;"2024-01-03";"A"
2;"2024-01-04";"P"
2;"2024-01-05";"a"
2;"2024-01-06";"P"
2;"2024-01-07";"a"
2;"2024-01-08";"a"
